user_id,total_questions,avg_time_spent,total_sessions,most_common_answer
u1,1082,49578.44177449168,671,b
u10,16,29125.0,13,a
u100,33,33151.48484848485,23,c
u1000,1488,41128.52419354839,977,b
u10000,405,36254.32098765432,402,a
u100000,1,25000.0,1,d
u100001,33,16696.939393939392,19,a
u100002,250,14931.984,236,b
u100003,30,21499.9,16,a
u100004,30,21033.233333333334,16,d
u100005,3436,25051.703725261934,2399,b
u100006,8,21749.875,6,d
u100007,30,23333.266666666666,16,a
u100008,821,22006.02801461632,652,b
u100009,948,24342.7805907173,403,c
u10001,575,20535.58260869565,482,a
u100010,30,28299.866666666665,16,c
u100011,55,36636.29090909091,41,b
u100012,30,23099.933333333334,16,b
u100013,50,16019.9,36,c
u100014,30,12366.566666666668,16,c
u100015,30,30699.833333333332,16,a
u100016,13,17845.846153846152,7,c
u100017,94,25765.94680851064,80,c
u100018,30,20766.466666666667,16,b
u100019,13,20999.615384615383,7,c
u10002,1994,34463.30341023069,1467,b
u100020,152,16138.131578947368,138,a
u100021,38,32026.21052631579,18,b
u100022,30,5233.133333333333,16,c
u100023,40,29024.9,26,d
u100024,4,19750.0,4,a
u100025,10,9299.8,6,b
u100026,30,26633.2,16,d
u100027,30,28666.533333333333,16,d
u100028,30,25599.866666666665,16,c
u100029,397,26385.249370277077,239,c
u10003,592,41565.71790540541,322,c
u100030,4,21750.0,4,b
u100031,30,16899.866666666665,16,b
u100032,7,15571.42857142857,5,a
u100033,30,28033.2,16,d
u100034,4,19000.0,4,b
u100035,733,26137.73942701228,574,b
u100036,4,19250.0,4,b
u100037,20,31749.75,12,a
u100038,30,33833.2,16,c
u100039,1396,19386.0723495702,1145,c
u10004,2486,31960.974658085277,2339,a
u100040,2774,16975.784426820475,2310,a
u100041,4,18750.0,4,c
u100042,45,22644.4,31,b
u100043,714,40501.38655462185,499,c
u100044,5,31600.0,5,d
u100045,4,21250.0,4,c
u100046,30,20833.233333333334,16,a
u100047,3,22000.0,3,b
u100048,40,33624.925,26,b
u100049,38,14184.105263157895,24,b
u10005,1439,22290.34190410007,741,b
u100050,30,22833.2,16,b
u100051,13,26384.615384615383,13,b
u100052,7,19571.285714285714,5,c
u100053,30,36399.933333333334,16,c
u100054,20,33150.0,20,b
u100055,4,19000.0,4,a
u100056,7,20714.14285714286,5,b
u100057,54,20185.074074074073,22,a
u100058,7,19428.285714285714,5,a
u100059,7,23142.85714285714,5,a
u10006,2285,34796.415754923415,1539,c
u100060,148,29736.45945945946,133,b
u100061,19,19421.052631578947,19,b
u100062,1,28000.0,1,b
u100063,4,21750.0,4,b
u100064,13,6999.846153846154,7,a
u100065,30,28599.833333333332,16,d
u100066,971,34235.746652935115,704,a
u100067,30,28866.566666666666,16,b
u100068,4,24500.0,4,a
u100069,4,18250.0,4,b
u10007,344,30845.81976744186,204,b
u100070,1,17000.0,1,b
u100071,7,25857.0,5,a
u100072,4,23250.0,4,b
u100073,40,13774.875,26,d
u100074,30,30133.2,16,c
u100075,40,25899.9,26,b
u100076,30,12566.5,16,c
u100077,82,13499.963414634147,68,a
u100078,4,22750.0,4,b
u100079,30,14366.566666666668,16,b
u100080,4,18750.0,4,c
u100081,30,17033.333333333332,16,d
u100082,4,33500.0,4,b
u100083,10,19600.0,10,b
u100084,2373,20869.361567635904,2342,c
u100085,42,30190.333333333332,28,c
u100086,215,18255.720930232557,177,a
u100087,1093,29065.87008234218,1059,a
u100088,156,20205.05769230769,126,a
u100089,30,27999.9,16,a
u10009,628,32641.63853503185,320,c
u100090,7,34000.0,5,b
u100091,57,29543.78947368421,39,a
u100092,43,28371.976744186046,29,b
u100093,7,22999.85714285714,5,a
u100094,30,29766.6,16,a
u100095,30,10466.466666666667,16,a
u100096,30,23433.266666666666,16,b
u100097,160,18581.225,146,b
u100098,30,42233.1,16,d
u100099,41,24682.80487804878,27,b
u1001,6,36333.333333333336,6,b
u10010,305,22026.137704918034,226,b
u100100,40,21749.95,26,d
u100101,199,24472.32663316583,178,a
u100102,13,21538.23076923077,7,c
u100103,556,27881.210431654676,368,c
u100104,30,37433.23333333333,16,b
u100105,30,15033.3,16,c
u100106,50,27659.94,36,a
u100107,30,22299.933333333334,16,c
u100108,30,19533.166666666668,16,a
u100109,4,22750.0,4,c
u10011,763,26811.204456094365,478,b
u100110,30,29366.533333333333,16,c
u100111,50,22279.92,36,c
u100112,1404,28333.97720797721,951,b
u100113,38,33368.36842105263,24,b
u100114,31,19935.354838709678,17,a
u100115,30,33799.933333333334,16,c
u100116,60,23266.566666666666,46,c
u100117,40,20799.95,26,d
u100118,30,12766.566666666668,16,b
u100119,194,17489.670103092783,179,a
u10012,1286,43822.70606531882,982,a
u100120,100,29359.95,86,b
u100121,3614,20160.43663530714,2992,b
u100122,3,21000.0,3,d
u100123,35,15799.828571428572,21,a
u100124,805,23575.119254658384,419,b
u100125,45,18422.11111111111,31,a
u100126,30,8366.533333333333,16,a
u100127,3,23333.333333333332,3,b
u100128,30,27999.9,16,c
u100129,4,17500.0,4,b
u10013,145,27565.51724137931,144,c
u100130,30,23166.5,16,b
u100131,30,21066.466666666667,16,b
u100132,137,18744.496350364963,123,b
u100133,2027,24231.335471139617,1146,b
u100134,30,27599.866666666665,16,b
u100135,3,22333.333333333332,3,b
u100136,31,34774.12903225807,17,a
u100137,3,20666.666666666668,3,c
u100138,30,16966.566666666666,16,b
u100139,31,36870.903225806454,17,c
u10014,751,23940.071904127828,736,a
u100140,3,22666.666666666668,3,a
u100141,217,18898.617511520737,200,a
u100142,2612,22877.86255742726,2028,b
u100143,35,23057.02857142857,21,d
u100144,7,21857.0,5,b
u100145,31,30709.645161290322,17,c
u100146,40,19349.85,26,b
u100147,30,39099.833333333336,16,b
u100148,40,22799.875,26,d
u100149,443,51173.73137697517,260,b
u10015,912,29359.64692982456,905,b
u100150,506,24511.847826086956,484,b
u100151,358,25069.82402234637,321,a
u100152,40,28299.85,26,d
u100153,528,27121.125,418,b
u100154,24,40916.666666666664,24,a
u100155,30,28266.433333333334,16,b
u100156,3,37000.0,3,a
u100157,155,32374.187096774192,140,b
u100158,30,30099.933333333334,16,a
u100159,30,22099.866666666665,16,b
u100160,158,19974.664556962027,143,b
u100161,7,24999.85714285714,5,a
u100162,4,20500.0,4,b
u100163,58,41482.724137931036,23,c
u100164,30,13233.133333333333,16,a
u100165,36,20805.444444444445,22,d
u100166,4,24250.0,4,c
u100167,30,27266.466666666667,16,c
u100168,70,21214.17142857143,56,b
u100169,50,24199.92,36,a
u10017,50,27640.0,49,c
u100170,1,39000.0,1,c
u100171,3,25000.0,3,d
u100172,2,23500.0,2,a
u100173,30,28233.2,16,a
u100174,30,13999.966666666667,16,b
u100175,50,23319.94,36,c
u100176,1,23000.0,1,d
u100177,30,22733.233333333334,16,d
u100178,4,22250.0,4,a
u100179,30,16633.266666666666,16,a
u10018,129,19038.75968992248,129,a
u100180,4,24500.0,4,b
u100181,4,26750.0,4,b
u100182,4,15750.0,4,b
u100183,40,25574.925,26,a
u100184,30,10633.133333333333,16,a
u100185,43,22069.697674418603,28,a
u100186,30,36733.166666666664,16,b
u100187,60,22283.333333333332,46,c
